tag,,tag,"7-digit serial numbers starting from 1001000 to identify manufacturers, suppliers and customers",,,,,combination of manufacturer id with internal ref,6-digit serial numbers starting from 101000 to identify products,,,,,tag,,,,,,,,tag,,,,,,tag,tag,tag,,tag,tag,,,,,,,,,,,,,
sport,category_id,activity_id,manufacturer_id,manufacturer_name,seller_id,seller_name,brand_name,bar_code_13,internal_ref_id,manufacturer_product_id,product_name,description,Unit weight g,specialty_id,size_id,ussize_id,width_id,wheel_size_id,head_tube_id,brakes_id,bottom_braket,Release (note: substitutes T-axle),rake_id,width_oo_id,seat_post_diameter_id,bar_bore_diameter_id,design_id,color_id,finish,material,Material Desc,Gender,Special Technology,picture,notes,seller_min_qty,, remaining ,cost_price,x_factor, retail_price_net , retail_price_vat ,Record,descriptive_field,VAT,22%
Cycling,Accessories,"Road, MTB, TT-Triathlon, Cross, Track",1001001,"Trigon Co., Ltd",1001001,"Trigon Co., Ltd",Trigon,,,,BC07,WATER BOTTLE CAGE(W/SCREW)【UD】 GLOSSY，W/TRIGON LOGO,30,"Race, Aero, Hard Tail, Full Suspension, Triathlon",,,,,,,,,,,,,,BLK,Glossy,Carbon,UD,,,,,,,,,,,,,,,30
Cycling,Bars,MTB,1001001,"Trigon Co., Ltd",1001001,"Trigon Co., Ltd",Trigon,,,HB116007100070000C,HB116,φ31.8*L710mm 【UD】 GLOSSY，W/2015 TRIGON LOGO,170,"Hard Tail, Full Suspension",,,,,,,,,,710,,"31,8",Flat,BLK,Glossy,Carbon,UD,,,,,,,,,,,,,,,10
Cycling,Accessories,"Road, MTB, TT-Triathlon, Cross, Track",1001001,"Trigon Co., Ltd",1001001,"Trigon Co., Ltd",Trigon,,,,HC02,"TOP CAP+SCREW, UD, GLOSSY，W/TRIGON LOGO",,"Race, Aero, Hard Tail, Full Suspension, Triathlon",,,,,,,,,,,,,,BLK,Glossy,Carbon,,,,,,,,,,,,,,,,50
Cycling,Stems,"Road, MTB, TT-Triathlon, Cross, Track",1001001,"Trigon Co., Ltd",1001001,"Trigon Co., Ltd",Trigon,,,HS119A286095081500C,HS119A,"φ28.6*φ31.8*Ext095【1.5K】W/STAINLESS SCREW, GLOSSY，W/TRIGON LOGO",,"Race, Aero, Hard Tail, Full Suspension, Triathlon",95,,,,,,,,,,,"31,8",,BLK,Glossy,Carbon,1.5K,,,,,,,,,,,,,,,10
Cycling,Stems,"Road, MTB, TT-Triathlon, Cross, Track",1001001,"Trigon Co., Ltd",1001001,"Trigon Co., Ltd",Trigon,,,HS119A286095080000C,HS119A,"φ28.6*φ31.8*Ext095【UD】STAINLESS SCREW, GLOSSY，W/2015 TRIGON LOGO",135,"Race, Aero, Hard Tail, Full Suspension, Triathlon",95,,,,,,,,,,,"31,8",,BLK,Glossy,Carbon,UD,,,,,,,,,,,,,,,5
Cycling,Stems,"Road, MTB, TT-Triathlon, Cross, Track",1001001,"Trigon Co., Ltd",1001001,"Trigon Co., Ltd",Trigon,,,HS119A286110081500C,HS119A,"φ28.6*φ31.8*Ext110【1.5K  , STAINLESS , GLOSSY, W/TRIGON LOGO",,"Race, Aero, Hard Tail, Full Suspension, Triathlon",110,,,,,,,,,,,"31,8",,BLK,Glossy,Carbon,1.5K,,C8™,,,,,,,,,,,,,35
Cycling,Stems,"Road, MTB, TT-Triathlon, Cross, Track",1001001,"Trigon Co., Ltd",1001001,"Trigon Co., Ltd",Trigon,,,HS119A286110080000C,HS119A,"φ28.6*φ31.8*Ext110【UD】STAINLESS SCREW , GLOSSY，W/2015 TRIGON LOGO",,"Race, Aero, Hard Tail, Full Suspension, Triathlon",110,,,,,,,,,,,"31,8",,BLK,Glossy,Carbon,UD,,C7™,,,,,,,,,,,,,5
Cycling,Stems,"Road, MTB, TT-Triathlon, Cross, Track",1001001,"Trigon Co., Ltd",1001001,"Trigon Co., Ltd",Trigon,,,HS119A286125081500C,HS119A,"φ28.6*φ31.8*Ext125【1.5K,  STAINLESS , GLOSSY，W/TRIGON LOGO",,"Race, Aero, Hard Tail, Full Suspension, Triathlon",125,,,,,,,,,,,"31,8",,BLK,Glossy,Carbon,1.5K,,C8™,,,,,,,,,,,,,5
Cycling,Stems,"Road, MTB, TT-Triathlon, Cross, Track",1001001,"Trigon Co., Ltd",1001001,"Trigon Co., Ltd",Trigon,,,HS119A286125080000C,HS119A,"φ28.6*φ31.8*Ext125【UD】STAINLESS SCREW, GLOSSY，W/2015 TRIGON LOGO",,"Race, Aero, Hard Tail, Full Suspension, Triathlon",125,,,,,,,,,,,"31,8",,BLK,Glossy,Carbon,UD,,C7™,,,,,,,,,,,,,10
Cycling,Stems,"Road, MTB, TT-Triathlon, Cross, Track",1001001,"Trigon Co., Ltd",1001001,"Trigon Co., Ltd",Trigon,,,HSA030286100073000C,HSA03,"φ28.6*φ31.8*Ext100  ALLOY W/CARBON【3K】 WRAPPING,  GLOSSY，W/2015 TRIGON LOGO",,"Race, Aero, Hard Tail, Full Suspension, Triathlon",100,,,,,,,,,,,"31,8",,BLK,Glossy,"Alloy, Carbon Wrap",3K,,,,,,,,,,,,,,,5
Cycling,Stems,"Road, MTB, TT-Triathlon, Cross, Track",1001001,"Trigon Co., Ltd",1001001,"Trigon Co., Ltd",Trigon,,,HSA030286110003000C,HSA03,"φ28.6*φ31.8*Ext110 , ALLOY W/3K CARBON WRAPPING, GLOSSY，W/2015 TRIGON LOGO",120,"Race, Aero, Hard Tail, Full Suspension, Triathlon",110,,,,,,,,,,,"31,8",,BLK,Glossy,"Alloy, Carbon Wrap",3K,,,,,,,,,,,,,,,5
Cycling,Stems,"Road, MTB, TT-Triathlon, Cross, Track",1001001,"Trigon Co., Ltd",1001001,"Trigon Co., Ltd",Trigon,,,HSA030286120073000C,HSA03,"φ28.6*φ31.8*Ext120  ALLOY W/CARBON【3K】 WRAPPING,  GLOSSY，W/2015 TRIGON LOGO",,"Race, Aero, Hard Tail, Full Suspension, Triathlon",120,,,,,,,,,,,"31,8",,BLK,Glossy,"Alloy, Carbon Wrap",3K,,,,,,,,,,,,,,,15
Cycling,Stems,"Road, MTB, TT-Triathlon, Cross, Track",1001001,"Trigon Co., Ltd",1001001,"Trigon Co., Ltd",Trigon,,,HSA030286080073000C,HSA05,"φ28.6*φ31.8*Ext80 ALLOY W/CARBON【3K】 WRAPPING,  GLOSSY，W/2015 TRIGON LOGO",,"Race, Aero, Hard Tail, Full Suspension, Triathlon",80,,,,,,,,,,,"31,8",,BLK,Glossy,"Alloy, Carbon Wrap",3K,,,,,,,,,,,,,,,5
Cycling,Stems,"Road, MTB, TT-Triathlon, Cross, Track",1001001,"Trigon Co., Ltd",1001001,"Trigon Co., Ltd",Trigon,,,HSA05286090003000C,HSA05,"φ28.6*φ31.8*Ext90  ALLOY W/3K CARBON WRAPPING , GLOSSY，W/TRIGON LOGO",,"Race, Aero, Hard Tail, Full Suspension, Triathlon",90,,,,,,,,,,,"31,8",,BLK,Glossy,"Alloy, Carbon Wrap",3K,,,,,,,,,,,,,,,5
Cycling,Stems,"Road, MTB, TT-Triathlon, Cross, Track",1001001,"Trigon Co., Ltd",1001001,"Trigon Co., Ltd",Trigon,,,HSA030286090073000C,HSA05,"φ28.6*φ31.8*Ext90 ALLOY W/CARBON【3K】 WRAPPING,  GLOSSY，W/2015 TRIGON LOGO",,"Race, Aero, Hard Tail, Full Suspension, Triathlon",90,,,,,,,,,,,"31,8",,BLK,Glossy,"Alloy, Carbon Wrap",3K,,,,,,,,,,,,,,,5
Cycling,Stems,"Road, MTB, TT-Triathlon, Cross, Track",1001001,"Trigon Co., Ltd",1001001,"Trigon Co., Ltd",Trigon,,,HSA05286100003000C,HSA05,"φ28.6*φ31.8*Ext100  ALLOY W/3K CARBON WRAPPING , GLOSSY，W/TRIGON LOGO",,"Race, Aero, Hard Tail, Full Suspension, Triathlon",100,,,,,,,,,,,"31,8",,BLK,Glossy,"Alloy, Carbon Wrap",3K,,,,,,,,,,,,,,,5
Cycling,Accessories,"Road, MTB, TT-Triathlon, Cross, Track",1001001,"Trigon Co., Ltd",1001001,"Trigon Co., Ltd",Trigon,,,,HW01,"1-1/8""*10mmODφ33.8 IDφ28.8【UD】 GLOSSY， PRINTING TRIGON",,"Race, Aero, Hard Tail, Full Suspension, Triathlon",10,,,,1 1/8,,,,,,,,,BLK,Glossy,Carbon,,,,,,,,,,,,,,,,200
